symptoms,label,disease
I NOTICED SCALES STICKING OUT SLOW SWIMMING FILTER WAS OFF FOR FEW HOURS...?,1,Bacterial diseases - Aeromoniasis
i noticed healthy fins eats a little slow but normal tank has algae getting worse,4,Healthy Fish
staying at bottom tail rot like white area?,6,Viral diseases White tail disease
today i saw tail turning white color looks dull not eating properly,6,Viral diseases White tail disease
fish opens mouth repeatedly abnormal swimming?,2,Bacterial gill disease
scratching against rocks fish looks tired?,5,Parasitic diseases
problem is red wounds on belly red patches on body fish looks tired,0,Bacterial Red disease
deep skin ulcers breathing faster than normal?,1,Bacterial diseases - Aeromoniasis
Fish showing active and eating well sometimes stays still getting worse,4,Healthy Fish
abnormal swimming started recently in my aquarium does not react much fish was moved to new tank scales sticking out,1,Bacterial diseases - Aeromoniasis
wite patch starting from tail in my aquarium other fish look normal fins are clamped mucus on gills fish opens mouth repeatedly...,2,Bacterial gill disease
Fins are clamped white hairy patch,3,Fungal diseases Saprolegniasis
i noticed it happens mostly at night bloody red spots red streaks around tail fins are clamped mold like growth tail,0,Bacterial Red disease
color looks dull tank was cleaned yesterday,1,Bacterial diseases - Aeromoniasis
One fish has swollen belly fluid filled belly color looks dull tank has algae,1,Bacterial diseases - Aeromoniasis
no visible wounds,4,Healthy Fish
one fish gills look damaged breathing difficulty fish looks stressed oxygen level may be low swollen belly not sure what happened,2,Bacterial gill disease
breathing faster than normal stays near filter outlet not sure what happened problem is does not react much,2,Bacterial gill disease
loss of appetite water temperature changed...,0,Bacterial Red disease
problem is gills look damaged water is slightly dirty getting worse,2,Bacterial gill disease
clamped fins abnormal swimming,5,Parasitic diseases
"skin looks reddish, damaged my fish has red wounds on belly white tail tip not sure what happened color looks dull",0,Bacterial Red disease
One fish has brown gill color pale gill does not react much color looks dull tank has algae is it serious...,2,Bacterial gill disease
fish swimming normally eats a little slow but normal today i saw other fish look normal,4,Healthy Fish
not eating properly today i saw not sure what happened white discoloration on tail...,6,Viral diseases White tail disease
my fish has fish looks helthy eats a little slow but normal getting worse?,4,Healthy Fish
one fish has tail end looks dead tail tissue damaged started recently?,6,Viral diseases White tail disease
ONE FISH HAS STAYS NEAR FILTER OUTLET FINS ARE CLAMPED COLOR LOOKS DULL MOLD LIKE GROWTH ON TAIL OTHER FISH LOOK NORMAL,2,Bacterial gill disease
i noticed mucus on gills breathing difficulty fish looks tired fins are clamped tank has algae tail turning white only one fish affected,2,Bacterial gill disease
WHAT DISEASE IS THIS FISH LOOKS TIRED FISH OPENS MOUTH REPEATEDLY PROBLEM IS,2,Bacterial gill disease
since yesterday fluffy fungus near wound fins are clamped clamped fins other fish look normal?,3,Fungal diseases Saprolegniasis
Less active than usual fish was moved to new tank,0,Bacterial Red disease
rubbing body on tank wall does not react much,5,Parasitic diseases
what disease is this white hairy patch color looks dull fish looks stressed my fish has fungus on body,3,Fungal diseases Saprolegniasis
my fish has fish looks bloated and weak scales sticking out hiding in corner tank was cleaned yesterday red ulcers on body what disease is this,1,Bacterial diseases - Aeromoniasis
fluid filled belly fluid filled belly abnormal swimming,1,Bacterial diseases - Aeromoniasis
red wounds on belly staying at bottom...,0,Bacterial Red disease
my fish has red patches on body getting worse,0,Bacterial Red disease
clamped fins skin irritation fish looks stressed weak movement fluffy fungus wound getting worse?,5,Parasitic diseases
breathing faster than normal tail turning white please help i noticed,6,Viral diseases White tail disease
dropsy like swelling loss of appetite,1,Bacterial diseases - Aeromoniasis
TODAY I SAW ONLY ONE FISH AFFECTED BRIGHT BODY COLOR...,4,Healthy Fish
for 2 days rubbing body on tank wall scratching against rocks,5,Parasitic diseases
today i saw gasping at water surface swollen gills abnormal swimming after water change is it serious,2,Bacterial gill disease
since yesterday stays near filter outlet not eating properly does not react much other fish look normal,2,Bacterial gill disease
since yesterday coton wool growth cotton wool growth slow swimming fish was moved to new tank other fish look normal,3,Fungal diseases Saprolegniasis
dropsy like swelling slow swimming,1,Bacterial diseases - Aeromoniasis
Only one fish affected rapid gill movement since yesterday skin looks reddish and damaged...,2,Bacterial gill disease
healthy fins,4,Healthy Fish
less active than usual it happens mostly at night after water change bloody red spots,0,Bacterial Red disease
gills look damaged gasping at water surface does not react much breathin faster than normal oxygen level may be low not sure what happened?,2,Bacterial gill disease
Fish showing white cotton like growth cotton wool growth slow swimming fish was moved to new tank please help,3,Fungal diseases Saprolegniasis
since yesterday tiny salt like dots rubbing body on tank wall not eating properly staying at bottom oxygen level may be low weak swimming with white tail,5,Parasitic diseases
for 2 days tail turning white fish looks stressed scales sticking out only one fish affected,6,Viral diseases White tail disease
please help active and eating well one fish has no red spots...,4,Healthy Fish
problem is popeye filter was off for few hours weak swimming with white tail only one fish affected,1,Bacterial diseases - Aeromoniasis
breathing faster than normal weak swimming with white taill fish was moved to new tank it happens mostly at night tail end looks dead my fish has fish opens mouth repeatedly,6,Viral diseases White tail disease
for 2 days rapid gill movement rapid gill movement loss of appetite water temperature changed only one fish affected,2,Bacterial gill disease
flashing behavior fish looks tired,5,Parasitic diseases
problem is fish looks healthy no fungus what disease is this,4,Healthy Fish
my fish has pale gills fish opens mouth repeatedly water temperature changed started recently,2,Bacterial gill disease
"i noticed rapid gill movement gasping at water surface fish looks bloated, weak not sure what happened",2,Bacterial gill disease
does not react much tank has algae,1,Bacterial diseases - Aeromoniasis
white cotton like growth fish looks stressed,3,Fungal diseases Saprolegniasis
for 2 days not eating properly other fish look normal filter was off for few hours mold like growth on tail,3,Fungal diseases Saprolegniasis
fluid filled belly only one fish affected fish showing water is cloudy,1,Bacterial diseases - Aeromoniasis
in my aquarium normal breathing no white spots water temperature changed not sure what happened,4,Healthy Fish
i noticed brown gill color breathing faster than normal inflamed red areas other fish look normal...,2,Bacterial gill disease
today i saw breathing difficulty hiding in corner fins are clamped other fish look normal,2,Bacterial gill disease
not sure what happened my fish has fluid filled belly feed was changed recently staying at bottom...?,1,Bacterial diseases - Aeromoniasis
for 2 days smooth scales only resting after feeding it happens mostly at night,4,Healthy Fish
i noticed active and eating well water temperature changed started recently...,4,Healthy Fish
mold like growth on taill loss of appetite,3,Fungal diseases Saprolegniasis
AFTER WATER CHANGE SOMETIMES FLOATING NEAR SURFACE ONE FISH HAS NOT EATING PROPERLY GETTING WORSE TAIL END LOOKS DEAD MILKY WHITE TAIL...,6,Viral diseases White tail disease
teil tissue damaged slow swimming,6,Viral diseases White tail disease
today i saw fuzzy white patches fungus on body abnormal swimming what disease is this,3,Fungal diseases Saprolegniasis
scales sticking out breathing faster than normal,1,Bacterial diseases - Aeromoniasis
bloody red spots not eating properly,0,Bacterial Red disease
for 2 days white tail tip tail fin becoming pale does not react much hiding in corner fish keeps scratching other fish look normal?,6,Viral diseases White tail disease
slow swimming other fish look normal dropsy like swelling staying at bottom...,1,Bacterial diseases - Aeromoniasis
sometimes floating near surface feed was changed recently...,0,Bacterial Red disease
for 2 days bleeding marks on skin small blood marks on scales fish looks stressed weak movement is it serious,0,Bacterial Red disease
fungus on body breathing faster than normal my fish has white tail tip only one fish affected wite taill tip,6,Viral diseases White tail disease
mold like growth on tail problem is red streaks around tail not sure what happened red patches on body slow swimming,0,Bacterial Red disease
normal breathing tank algae one fish has no red spots,4,Healthy Fish
cotton wool growth staying at bottom,3,Fungal diseases Saprolegniasis
clamped fins not eating properly,5,Parasitic diseases
"loss of appetite white mold on fins only one fish affected my fish has bloated abdomen fish looks bloated, weak",1,Bacterial diseases - Aeromoniasis
FISH SHOWING WHITE HAIRY PATCH PLEASE HELP?,3,Fungal diseases Saprolegniasis
sometimes floating near surface milky white tail problem is is it serious,6,Viral diseases White tail disease
